,housing_median_age,ocean_proximity,median_house_value
1,21.0,NEAR BAY,358500
2,52.0,NEAR BAY,352100
3,52.0,NEAR BAY,341300
4,,NEAR BAY,342200
5,,NEAR BAY,269700
6,,NEAR BAY,299200
7,,NEAR BAY,241400
8,42.0,NEAR BAY,226700
9,52.0,NEAR BAY,261100
10,52.0,NEAR BAY,281500
11,52.0,NEAR BAY,241800
12,52.0,NEAR BAY,213500
13,52.0,NEAR BAY,191300
14,52.0,NEAR BAY,159200
15,50.0,NEAR BAY,140000
16,52.0,NEAR BAY,152500
17,52.0,NEAR BAY,155500
18,50.0,NEAR BAY,158700
19,52.0,NEAR BAY,162900
20,40.0,NEAR BAY,147500
